prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
13	1	0	0	3	6	3	1
13	1	0	1	3	6	3	4
13	1	0	2	3	6	3	9
13	1	0	3	3	6	3	12
13	1	0	4	3	6	3	9
13	1	0	5	3	6	3	4
13	1	1	0	3	6	3	9
13	1	1	1	3	6	3	4
13	1	1	2	3	6	3	1
13	1	1	3	3	6	3	4
13	1	1	4	3	6	3	9
13	1	1	5	3	6	3	12
13	1	2	0	3	6	3	9
13	1	2	1	3	6	3	12
13	1	2	2	3	6	3	9
13	1	2	3	3	6	3	4
13	1	2	4	3	6	3	1
13	1	2	5	3	6	3	4
13	2	0	0	3	6	3	12
13	2	0	1	3	6	3	9
13	2	0	2	3	6	3	4
13	2	0	3	3	6	3	1
13	2	0	4	3	6	3	4
13	2	0	5	3	6	3	9
13	2	1	0	3	6	3	4
13	2	1	1	3	6	3	9
13	2	1	2	3	6	3	12
13	2	1	3	3	6	3	9
13	2	1	4	3	6	3	4
13	2	1	5	3	6	3	1
13	2	2	0	3	6	3	4
13	2	2	1	3	6	3	1
13	2	2	2	3	6	3	4
13	2	2	3	3	6	3	9
13	2	2	4	3	6	3	12
13	2	2	5	3	6	3	9
41	1	0	0	44	22	3	inf
41	1	0	3	44	22	3	inf
41	1	0	4	44	22	3	inf
41	1	0	15	44	22	3	inf
41	1	1	6	44	22	3	23
41	1	1	17	44	22	3	18
41	1	2	8	44	22	3	inf
41	1	2	15	44	22	3	inf
41	1	2	18	44	22	3	inf
41	1	2	19	44	22	3	inf
41	1	3	10	44	22	3	18
41	1	3	21	44	22	3	23
41	1	4	1	44	22	3	inf
41	1	4	8	44	22	3	inf
41	1	4	11	44	22	3	inf
41	1	4	12	44	22	3	inf
41	1	5	3	44	22	3	18
41	1	5	14	44	22	3	23
41	1	6	1	44	22	3	inf
41	1	6	4	44	22	3	inf
41	1	6	5	44	22	3	inf
41	1	6	16	44	22	3	inf
41	1	7	7	44	22	3	23
41	1	7	18	44	22	3	18
41	1	8	9	44	22	3	inf
41	1	8	16	44	22	3	inf
41	1	8	19	44	22	3	inf
41	1	8	20	44	22	3	inf
41	1	9	0	44	22	3	23
41	1	9	11	44	22	3	18
41	1	10	2	44	22	3	inf
41	1	10	9	44	22	3	inf
41	1	10	12	44	22	3	inf
41	1	10	13	44	22	3	inf
41	1	11	4	44	22	3	18
41	1	11	15	44	22	3	23
41	1	12	2	44	22	3	inf
41	1	12	5	44	22	3	inf
41	1	12	6	44	22	3	inf
41	1	12	17	44	22	3	inf
41	1	13	8	44	22	3	23
41	1	13	19	44	22	3	18
41	1	14	10	44	22	3	inf
41	1	14	17	44	22	3	inf
41	1	14	20	44	22	3	inf
41	1	14	21	44	22	3	inf
41	1	15	1	44	22	3	23
41	1	15	12	44	22	3	18
41	1	16	3	44	22	3	inf
41	1	16	10	44	22	3	inf
41	1	16	13	44	22	3	inf
41	1	16	14	44	22	3	inf
41	1	17	5	44	22	3	18
41	1	17	16	44	22	3	23
41	1	18	3	44	22	3	inf
41	1	18	6	44	22	3	inf
41	1	18	7	44	22	3	inf
41	1	18	18	44	22	3	inf
41	1	19	9	44	22	3	23
41	1	19	20	44	22	3	18
41	1	20	0	44	22	3	inf
41	1	20	11	44	22	3	inf
41	1	20	18	44	22	3	inf
41	1	20	21	44	22	3	inf
41	1	21	2	44	22	3	23
41	1	21	13	44	22	3	18
41	1	22	4	44	22	3	inf
41	1	22	11	44	22	3	inf
41	1	22	14	44	22	3	inf
41	1	22	15	44	22	3	inf
41	1	23	6	44	22	3	18
41	1	23	17	44	22	3	23
41	1	24	4	44	22	3	inf
41	1	24	7	44	22	3	inf
41	1	24	8	44	22	3	inf
41	1	24	19	44	22	3	inf
41	1	25	10	44	22	3	23
41	1	25	21	44	22	3	18
41	1	26	0	44	22	3	inf
41	1	26	1	44	22	3	inf
41	1	26	12	44	22	3	inf
41	1	26	19	44	22	3	inf
41	1	27	3	44	22	3	23
41	1	27	14	44	22	3	18
41	1	28	5	44	22	3	inf
41	1	28	12	44	22	3	inf
41	1	28	15	44	22	3	inf
41	1	28	16	44	22	3	inf
41	1	29	7	44	22	3	18
41	1	29	18	44	22	3	23
41	1	30	5	44	22	3	inf
41	1	30	8	44	22	3	inf
41	1	30	9	44	22	3	inf
41	1	30	20	44	22	3	inf
41	1	31	0	44	22	3	18
41	1	31	11	44	22	3	23
41	1	32	1	44	22	3	inf
41	1	32	2	44	22	3	inf
41	1	32	13	44	22	3	inf
41	1	32	20	44	22	3	inf
41	1	33	4	44	22	3	23
41	1	33	15	44	22	3	18
41	1	34	6	44	22	3	inf
41	1	34	13	44	22	3	inf
41	1	34	16	44	22	3	inf
41	1	34	17	44	22	3	inf
41	1	35	8	44	22	3	18
41	1	35	19	44	22	3	23
41	1	36	6	44	22	3	inf
41	1	36	9	44	22	3	inf
41	1	36	10	44	22	3	inf
41	1	36	21	44	22	3	inf
41	1	37	1	44	22	3	18
41	1	37	12	44	22	3	23
41	1	38	2	44	22	3	inf
41	1	38	3	44	22	3	inf
41	1	38	14	44	22	3	inf
41	1	38	21	44	22	3	inf
41	1	39	5	44	22	3	23
41	1	39	16	44	22	3	18
41	1	40	7	44	22	3	inf
41	1	40	14	44	22	3	inf
41	1	40	17	44	22	3	inf
41	1	40	18	44	22	3	inf
41	1	41	9	44	22	3	18
41	1	41	20	44	22	3	23
41	1	42	0	44	22	3	inf
41	1	42	7	44	22	3	inf
41	1	42	10	44	22	3	inf
41	1	42	11	44	22	3	inf
41	1	43	2	44	22	3	18
41	1	43	13	44	22	3	23
41	2	0	4	44	22	3	inf
41	2	0	11	44	22	3	inf
41	2	0	14	44	22	3	inf
41	2	0	15	44	22	3	inf
41	2	1	6	44	22	3	18
41	2	1	17	44	22	3	23
41	2	2	4	44	22	3	inf
41	2	2	7	44	22	3	inf
41	2	2	8	44	22	3	inf
41	2	2	19	44	22	3	inf
41	2	3	10	44	22	3	23
41	2	3	21	44	22	3	18
41	2	4	0	44	22	3	inf
